tau,q,mean,ci_low,ci_high,median,p90,num_stalled,num_successful
0,0.0,inf,inf,inf,inf,inf,20,0
0,0.1,13.0,13.0,13.0,13.0,13.0,0,20
0,0.2,7.1,6.9559482051647565,7.244051794835243,7.0,7.100000000000001,0,20
0,0.30000000000000004,5.95,5.845348797279587,6.054651202720414,6.0,6.0,0,20
0,0.4,4.9,4.755948205164757,5.0440517948352435,5.0,5.0,0,20
0,0.5,4.0,4.0,4.0,4.0,4.0,0,20
0,0.6000000000000001,3.25,3.0420791436865593,3.4579208563134407,3.0,4.0,0,20
0,0.7000000000000001,3.0,3.0,3.0,3.0,3.0,0,20
0,0.8,3.0,3.0,3.0,3.0,3.0,0,20
0,0.9,2.15,1.9785440695301622,2.321455930469838,2.0,3.0,0,20
0,1.0,1.0,1.0,1.0,1.0,1.0,0,20
2,0.0,inf,inf,inf,inf,inf,20,0
2,0.1,15.0,15.0,15.0,15.0,15.0,0,20
2,0.2,9.1,8.955948205164757,9.244051794835242,9.0,9.100000000000001,0,20
2,0.30000000000000004,7.85,7.678544069530162,8.021455930469838,8.0,8.0,0,20
2,0.4,6.9,6.755948205164757,7.0440517948352435,7.0,7.0,0,20
2,0.5,6.0,6.0,6.0,6.0,6.0,0,20
2,0.6000000000000001,5.25,5.042079143686559,5.457920856313441,5.0,6.0,0,20
2,0.7000000000000001,5.0,5.0,5.0,5.0,5.0,0,20
2,0.8,5.0,5.0,5.0,5.0,5.0,0,20
2,0.9,4.2,4.007930940219676,4.392069059780324,4.0,5.0,0,20
2,1.0,3.0,3.0,3.0,3.0,3.0,0,20
3,0.0,inf,inf,inf,inf,inf,20,0
3,0.1,16.0,16.0,16.0,16.0,16.0,0,20
3,0.2,10.3,10.079957248724417,10.520042751275584,10.0,11.0,0,20
3,0.30000000000000004,8.9,8.755948205164758,9.044051794835243,9.0,9.0,0,20
3,0.4,7.95,7.845348797279587,8.054651202720413,8.0,8.0,0,20
3,0.5,7.0,7.0,7.0,7.0,7.0,0,20
3,0.6000000000000001,6.2,6.007930940219676,6.392069059780324,6.0,7.0,0,20
3,0.7000000000000001,6.0,6.0,6.0,6.0,6.0,0,20
3,0.8,6.0,6.0,6.0,6.0,6.0,0,20
3,0.9,5.25,5.042079143686559,5.457920856313441,5.0,6.0,0,20
3,1.0,4.0,4.0,4.0,4.0,4.0,0,20
4,0.0,inf,inf,inf,inf,inf,20,0
4,0.1,17.0,17.0,17.0,17.0,17.0,0,20
4,0.2,11.3,11.079957248724417,11.520042751275584,11.0,12.0,0,20
4,0.30000000000000004,9.85,9.678544069530162,10.021455930469838,10.0,10.0,0,20
4,0.4,9.0,9.0,9.0,9.0,9.0,0,20
4,0.5,8.0,8.0,8.0,8.0,8.0,0,20
4,0.6000000000000001,7.2,7.007930940219676,7.392069059780324,7.0,8.0,0,20
4,0.7000000000000001,7.0,7.0,7.0,7.0,7.0,0,20
4,0.8,7.0,7.0,7.0,7.0,7.0,0,20
4,0.9,6.2,6.007930940219676,6.392069059780324,6.0,7.0,0,20
4,1.0,5.0,5.0,5.0,5.0,5.0,0,20
5,0.0,inf,inf,inf,inf,inf,20,0
5,0.1,18.0,18.0,18.0,18.0,18.0,0,20
5,0.2,12.15,11.978544069530162,12.321455930469838,12.0,13.0,0,20
5,0.30000000000000004,10.8,10.607930940219676,10.992069059780325,11.0,11.0,0,20
5,0.4,9.95,9.845348797279586,10.054651202720413,10.0,10.0,0,20
5,0.5,9.0,9.0,9.0,9.0,9.0,0,20
5,0.6000000000000001,8.15,7.978544069530162,8.321455930469838,8.0,9.0,0,20
5,0.7000000000000001,8.0,8.0,8.0,8.0,8.0,0,20
5,0.8,8.0,8.0,8.0,8.0,8.0,0,20
5,0.9,7.1,6.9559482051647565,7.244051794835243,7.0,7.100000000000001,0,20
5,1.0,6.0,6.0,6.0,6.0,6.0,0,20
6,0.0,inf,inf,inf,inf,inf,20,0
6,0.1,18.95,18.845348797279588,19.05465120272041,19.0,19.0,0,20
6,0.2,13.0,13.0,13.0,13.0,13.0,0,20
6,0.30000000000000004,11.5,11.259913675274595,11.740086324725405,11.5,12.0,0,20
6,0.4,10.65,10.420972243120318,10.879027756879683,11.0,11.0,0,20
6,0.5,10.0,10.0,10.0,10.0,10.0,0,20
6,0.6000000000000001,9.0,9.0,9.0,9.0,9.0,0,20
6,0.7000000000000001,9.0,9.0,9.0,9.0,9.0,0,20
6,0.8,9.0,9.0,9.0,9.0,9.0,0,20
6,0.9,8.05,7.945348797279587,8.154651202720414,8.0,8.0,0,20
6,1.0,7.0,7.0,7.0,7.0,7.0,0,20
