q,tau,mean,ci_low,ci_high,median,p90
0.1,0,87.55,86.0741036137084,89.02589638629159,88.0,90.1
0.1,2,90.25,88.59444854206423,91.90555145793577,91.0,93.2
0.1,3,88.85,86.78875018808286,90.91124981191713,89.5,92.5
0.1,4,87.45,85.9355519059047,88.9644480940953,87.0,91.1
0.1,5,84.7,83.63600848367678,85.76399151632323,85.0,87.0
0.1,6,79.1,78.533884795417,79.666115204583,79.0,80.1
0.2,0,52.65,51.76103195337555,53.53896804662445,52.5,55.0
0.2,2,52.85,51.74169536807227,53.95830463192773,53.0,56.0
0.2,3,51.9,51.05593351006151,52.74406648993849,52.0,53.1
0.2,4,50.65,50.096758584314216,51.20324141568578,50.5,52.0
0.2,5,48.05,47.694704684985666,48.40529531501433,48.0,49.0
0.2,6,45.25,45.04207914368656,45.45792085631344,45.0,46.0
0.4,0,32.65,32.21320121635963,33.08679878364037,33.0,34.0
0.4,2,32.4,31.934455343835015,32.865544656164985,32.5,33.0
0.4,3,31.5,31.112872433644416,31.887127566355584,31.5,32.1
0.4,4,30.3,29.957088139060325,30.642911860939677,30.0,31.1
0.4,5,29.4,29.16476440408104,29.635235595918957,29.0,30.0
0.4,6,28.1,27.95594820516476,28.244051794835244,28.0,28.1
0.6,0,24.7,24.357088139060323,25.042911860939675,25.0,26.0
0.6,2,24.1,23.800132276529403,24.3998677234706,24.0,25.0
0.6,3,23.85,23.678544069530165,24.021455930469838,24.0,24.0
0.6,4,23.4,23.16476440408104,23.635235595918957,23.0,24.0
0.6,5,23.0,23.0,23.0,23.0,23.0
0.6,6,22.25,22.04207914368656,22.45792085631344,22.0,23.0
